CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00001470,8/31/2022,1/31/2022,2629000
A00000005,5/31/2023,1/31/2018,2366000
A00000183,10/31/2022,12/31/2018,6102000
A00000399,5/31/2022,12/31/2021,23000
A00000285,5/31/2022,11/30/2019,304000
A00000172,2/28/2022,8/31/2018,252000
A00000355,7/31/2022,9/30/2020,4621000
A00001394,1/31/2022,5/31/2021,604000
A00000378,8/31/2022,12/31/2020,3000
A00001452,7/31/2022,3/31/2022,174000
A00000326,4/30/2023,4/30/2020,3000
A00001445,3/31/2023,10/31/2021,6878000
A00001465,11/30/2022,1/31/2022,84000
A00000412,1/31/2023,6/30/2021,28000
A00000387,8/31/2022,2/28/2021,191000
A00000326,4/30/2022,4/30/2020,26000
A00000251,1/31/2023,7/31/2019,1893000
A00000390,2/28/2023,2/28/2021,3000
A00000124,10/31/2022,1/31/2018,118000
A00000333,9/30/2021,4/30/2020,63000
A00001425,9/30/2022,8/31/2021,28000
A00000399,1/31/2022,12/31/2021,10000
A00001437,8/31/2022,10/31/2021,3000
A00000337,6/30/2022,6/30/2020,25000
A00001539,5/31/2023,4/30/2022,75000
A00002412,4/30/2023,3/31/2023,10000
A00000206,2/28/2023,6/30/2018,2823000
A00000416,2/28/2023,4/30/2021,173000
A00001416,4/30/2023,6/30/2021,1007000
A00001573,8/31/2022,6/30/2022,41000
A00001566,1/31/2023,6/30/2022,160000
A00000039,11/30/2021,1/31/2018,3077000
A00001556,5/31/2023,4/30/2022,51000
A00000274,9/30/2021,10/31/2019,918000
A00000316,4/30/2023,4/30/2020,39226000
A00000162,1/31/2023,9/30/2018,145000
A00000385,8/31/2021,1/31/2021,545000
A00000191,3/31/2022,12/31/2018,183000
A00000423,1/31/2022,5/31/2021,269000
A00000372,5/31/2022,12/31/2020,4029000
A00001415,10/31/2022,8/31/2021,2062000
A00000162,12/31/2021,9/30/2018,148000
