Customer Cohort Month,Month,Volume
5/31/2019,7/31/2021,4792000
1/31/2021,3/31/2023,1070000
11/30/2019,10/31/2022,489000
10/31/2021,3/31/2023,6891000
2/28/2021,4/30/2021,107000
2/28/2021,2/28/2023,3000
8/31/2022,3/31/2023,252000
11/30/2018,12/31/2021,1518000
11/30/2019,6/30/2022,282000
12/31/2021,2/28/2023,8000
3/31/2021,7/31/2021,3661000
7/31/2021,6/30/2022,70000
8/31/2021,4/30/2022,9244000
6/30/2022,2/28/2023,261000
6/30/2018,5/31/2021,1339000
7/31/2021,7/31/2022,28000
5/31/2019,12/31/2021,5943000
8/31/2021,2/28/2022,7240000
12/31/2018,3/31/2021,2758000
10/31/2021,2/28/2023,6072000
6/30/2020,8/31/2021,2284000
6/30/2021,4/30/2022,624000
1/31/2021,5/31/2021,822000
12/31/2019,1/31/2023,436000
11/30/2021,5/31/2022,6445000
3/31/2021,10/31/2022,4090000
3/31/2021,12/31/2021,2814000
2/29/2020,5/31/2023,1815000
9/30/2018,11/30/2022,215000
10/31/2021,9/30/2022,3214000
1/31/2019,10/31/2022,34000
9/30/2018,6/30/2022,129000
6/30/2018,12/31/2022,5420000
9/30/2018,9/30/2022,153000
10/31/2020,11/30/2022,18698000
4/30/2021,9/30/2022,305000
11/30/2019,3/31/2023,284000
3/31/2019,5/31/2022,1800000
12/31/2020,5/31/2021,2376000
2/29/2020,7/31/2021,191000
10/31/2021,3/31/2022,3748000
1/31/2019,7/31/2022,225000
12/31/2022,1/31/2023,14000
1/31/2018,6/30/2022,7795000
11/30/2020,9/30/2021,91000
1/31/2021,4/30/2023,327000
5/31/2021,5/31/2021,342000
9/30/2020,3/31/2023,16454000
9/30/2020,1/31/2022,1107000
7/31/2020,11/30/2022,300000
2/28/2022,2/28/2022,620000
6/30/2018,2/28/2023,4761000
6/30/2018,3/31/2023,5430000
7/31/2020,6/30/2021,542000
12/31/2020,12/31/2021,3800000
1/31/2019,4/30/2022,249000
